Serial_Num,Year,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-24 06:00:00, TS, -9.20,  73.90,105.0,  928.0,reunion,  98.900,  98.225,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-24 12:00:00, TS, -9.60,  73.40,105.0,  930.0,reunion,  98.900,  97.395,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-24 18:00:00, TS, -9.80,  73.30,100.0,  935.0,reunion,  98.133,  96.785,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-25 00:00:00, TS,-10.00,  73.40, 90.0,  945.0,reunion,  95.742,  94.709,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-25 06:00:00, TS,-10.70,  73.50, 80.0,  958.0,reunion,  92.208,  90.313,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-25 12:00:00, TS,-11.50,  73.60, 75.0,  962.0,reunion,  90.933,  89.198,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-25 18:00:00, TS,-12.00,  73.80, 70.0,  968.0,reunion,  87.725,  86.048,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-26 00:00:00, TS,-12.40,  74.00, 65.0,  972.0,reunion,  85.908,  83.736,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-26 06:00:00, TS,-12.90,  74.20, 60.0,  978.0,reunion,  81.642,  77.534,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-26 12:00:00, TS,-13.60,  74.70, 57.0,  980.0,reunion,  81.025,  75.417,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-26 18:00:00, TS,-14.10,  75.10, 60.0,  978.0,reunion,  81.642,  77.534,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-27 00:00:00, TS,-14.60,  75.60, 70.0,  968.0,reunion,  87.725,  86.048,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-27 06:00:00, TS,-15.10,  75.90, 70.0,  968.0,reunion,  87.725,  86.048,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-27 12:00:00, TS,-15.40,  76.40, 65.0,  972.0,reunion,  85.908,  83.736,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-27 18:00:00, TS,-15.60,  76.90, 60.0,  978.0,reunion,  81.642,  77.534,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-28 00:00:00, TS,-15.70,  77.40, 55.0,  982.0,reunion,  78.500,  74.872,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-28 06:00:00, TS,-16.00,  77.40, 50.0,  988.0,reunion,  71.975,  64.200,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-28 12:00:00, TS,-16.10,  77.20, 45.0,  990.0,reunion,  67.200,  61.213,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-28 18:00:00, TS,-16.20,  76.80, 43.0,  992.0,reunion,  63.433,  53.407,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-29 00:00:00, TS,-16.40,  76.40, 40.0,  994.0,reunion,  58.208,  51.111,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-29 06:00:00, TS,-16.50,  75.90, 35.0,  997.0,reunion,  43.067,  39.389,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-29 12:00:00, TS,-16.60,  75.10, 35.0,  997.0,reunion,  43.067,  39.389,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-29 18:00:00, TS,-16.80,  74.20, 35.0,  997.0,reunion,  43.067,  39.389,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-30 00:00:00, TS,-17.00,  73.50, 33.0,  998.0,reunion,  41.992,  35.914,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-30 06:00:00, TS,-17.40,  72.50, 30.0, 1000.0,reunion,  34.267,  24.168,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-30 12:00:00, TS,-17.70,  71.50, 30.0, 1001.0,reunion,  34.267,  22.515,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-11-30 18:00:00, TS,-17.90,  70.50, 27.0, 1003.0,reunion,  27.208,  14.432,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-12-01 00:00:00, TS,-18.00,  69.50, 25.0, 1004.0,reunion,  16.100,  11.030,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-12-01 06:00:00, TS,-18.00,  68.70, 25.0, 1005.0,reunion,  16.100,   7.684,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-12-01 12:00:00, TS,-17.90,  67.80, 25.0, 1006.0,reunion,  16.100,   5.283,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-12-01 18:00:00, TS,-17.80,  66.80, 25.0, 1007.0,reunion,  16.100,   3.549,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-12-02 00:00:00, TS,-17.70,  65.80, 25.0, 1008.0,reunion,  16.100,   2.084,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-12-02 06:00:00, TS,-17.70,  64.30, 25.0, 1009.0,reunion,  16.100,   1.368,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-12-02 12:00:00, TS,-17.60,  62.50, 25.0, 1010.0,reunion,  16.100,   0.586,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-12-02 18:00:00, TS,-17.50,  60.70, 20.0, 1011.0,reunion,   1.350,   0.423,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-12-03 00:00:00, TS,-17.40,  58.90, 20.0, 1011.0,reunion,   1.350,   0.423,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-12-03 06:00:00, TS,-17.40,  57.10, 20.0, 1012.0,reunion,   1.350,   0.195,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-12-03 12:00:00, TS,-17.10,  55.70, 20.0, 1012.0,reunion,   1.350,   0.195,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-12-03 18:00:00, TS,-16.90,  54.10,  0.0, 1013.0,reunion,-100.000,   0.106,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-12-04 00:00:00, TS,-16.60,  52.50,  0.0, 1013.0,reunion,-100.000,   0.106,main
2004325S06078,2005,04, SI, MM,BENTO:BENTOJANA,2004-12-04 06:00:00, TS,-16.30,  51.10,  0.0, 1013.0,reunion,-100.000,   0.106,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-22 12:00:00, TS, -6.80,  89.20, 25.0, 1002.0,reunion,  16.100,  17.753,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-22 18:00:00, TS, -7.10,  88.40, 25.0, 1001.0,reunion,  16.100,  22.515,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-23 00:00:00, TS, -7.60,  87.70, 25.0, 1000.0,reunion,  16.100,  24.168,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-23 06:00:00, TS, -8.40,  87.00, 27.0,  999.0,reunion,  27.208,  33.610,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-23 12:00:00, TS, -9.00,  86.60, 30.0,  998.0,reunion,  34.267,  35.914,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-23 18:00:00, TS, -9.50,  86.20, 30.0,  997.0,reunion,  34.267,  39.389,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-24 00:00:00, TS,-10.30,  85.40, 35.0,  995.0,reunion,  43.067,  47.399,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-24 06:00:00, TS,-10.90,  84.30, 43.0,  990.0,reunion,  63.433,  61.213,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-24 12:00:00, TS,-11.30,  83.80, 50.0,  985.0,reunion,  71.975,  68.018,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-24 18:00:00, TS,-11.80,  83.20, 55.0,  980.0,reunion,  78.500,  75.417,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-25 00:00:00, TS,-12.40,  82.50, 60.0,  975.0,reunion,  81.642,  81.278,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-25 06:00:00, TS,-13.00,  81.90, 70.0,  965.0,reunion,  87.725,  87.798,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-25 12:00:00, TS,-13.80,  81.20, 80.0,  955.0,reunion,  92.208,  90.492,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-25 18:00:00, TS,-14.40,  80.60, 80.0,  955.0,reunion,  92.208,  90.492,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-26 00:00:00, TS,-15.20,  80.00, 80.0,  955.0,reunion,  92.208,  90.492,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-26 06:00:00, TS,-15.70,  79.90, 80.0,  955.0,reunion,  92.208,  90.492,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-26 12:00:00, TS,-16.40,  79.60, 85.0,  950.0,reunion,  94.442,  93.553,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-26 18:00:00, TS,-17.00,  79.20, 85.0,  950.0,reunion,  94.442,  93.553,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-27 00:00:00, TS,-17.50,  78.70, 85.0,  950.0,reunion,  94.442,  93.553,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-27 06:00:00, TS,-17.80,  78.30, 80.0,  955.0,reunion,  92.208,  90.492,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-27 12:00:00, TS,-18.00,  77.70, 80.0,  955.0,reunion,  92.208,  90.492,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-27 18:00:00, TS,-18.40,  77.00, 65.0,  970.0,reunion,  85.908,  84.217,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-28 00:00:00, TS,-18.80,  76.20, 50.0,  985.0,reunion,  71.975,  68.018,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-28 06:00:00, ET,-19.10,  75.30, 50.0,  985.0,reunion,  71.975,  68.018,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-28 12:00:00, ET,-19.60,  74.40, 50.0,  985.0,reunion,  71.975,  68.018,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-28 18:00:00, ET,-20.10,  73.60, 45.0,  987.0,reunion,  67.200,  66.178,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-29 00:00:00, ET,-20.80,  72.80, 45.0,  987.0,reunion,  67.200,  66.178,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-29 06:00:00, ET,-21.50,  72.10, 45.0,  988.0,reunion,  67.200,  64.200,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-29 12:00:00, ET,-22.10,  71.70, 45.0,  987.0,reunion,  67.200,  66.178,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-29 18:00:00, ET,-22.90,  71.40, 50.0,  985.0,reunion,  71.975,  68.018,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-30 00:00:00, ET,-23.70,  71.10, 50.0,  985.0,reunion,  71.975,  68.018,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-30 06:00:00, ET,-24.10,  70.80, 50.0,  985.0,reunion,  71.975,  68.018,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-30 12:00:00, ET,-24.20,  70.70, 55.0,  983.0,reunion,  78.500,  74.180,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-30 18:00:00, ET,-24.60,  70.50, 55.0,  983.0,reunion,  78.500,  74.180,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-31 00:00:00, ET,-24.90,  70.10, 50.0,  985.0,reunion,  71.975,  68.018,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-31 06:00:00, ET,-25.10,  69.80, 45.0,  987.0,reunion,  67.200,  66.178,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-31 12:00:00, ET,-25.30,  69.30, 45.0,  987.0,reunion,  67.200,  66.178,main
2004357S06095,2005,06, SI, MM,CHAMBO,2004-12-31 18:00:00, ET,-25.70,  68.70, 43.0,  988.0,reunion,  63.433,  64.200,main
2004357S06095,2005,06, SI, MM,CHAMBO,2005-01-01 00:00:00, ET,-26.60,  68.50, 40.0,  990.0,reunion,  58.208,  61.213,main
2004357S06095,2005,06, SI, MM,CHAMBO,2005-01-01 06:00:00, ET,-27.10,  67.90, 40.0,  992.0,reunion,  58.208,  53.407,main
2004357S06095,2005,06, SI, MM,CHAMBO,2005-01-01 12:00:00, ET,-28.10,  67.90, 40.0,  992.0,reunion,  58.208,  53.407,main
2004357S06095,2005,06, SI, MM,CHAMBO,2005-01-01 18:00:00, ET,-29.00,  67.90, 40.0,  994.0,reunion,  58.208,  51.111,main
2004357S06095,2005,06, SI, MM,CHAMBO,2005-01-02 00:00:00, ET,-29.90,  67.70, 40.0,  994.0,reunion,  58.208,  51.111,main
2004357S06095,2005,06, SI, MM,CHAMBO,2005-01-02 06:00:00, ET,-30.50,  67.50, 37.0,  995.0,reunion,  56.142,  47.399,main
2004357S06095,2005,06, SI, MM,CHAMBO,2005-01-02 12:00:00, ET,-31.00,  67.50, 35.0,  998.0,reunion,  43.067,  35.914,main
